18B,1.1237389436636815
18F,1.1037215121369064
18F_2,1.0826057529130406
19B,1.0869249051718763
19F,1.0715227090568171
20B,1.1271360662020298
20F,1.081637413019799
21B,1.0072517885380994
21F,0.9752372282339453
22B,0.9910436244746518
22F,1.0207929172632613
23B,1.1264286143294604
23F,1.0859205899590965
24B,1.1774896945338327
24F,1.1356377818343144
25B,1.113960377810355
25F,1.0446976146808686
26B,1.2441456523356569
26F,1.1817433910952633
27B,1.0333370707153886
27F,1.0234839154014195
28B,1.0663232359756583
28F,1.0168937696689437
29B,1.107500018096868
29F,1.0803840028041944
30B,1.0804373496172397
30F,1.0886689445256061
31F,0.9764724781998011
31F_2,0.9732628730138179
32B,1.106893919392374
32F,1.035195274433251
temp_no_bkgd,1.1267141876613238
